|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
195|195|2017-0060|2017-05-13|2017|5|13|PASAJERO_ACOMPAÑANTE|MOTO|MASCULINO|30.0|2017-05-13 00:00:00|5|Saturday|OBJETO FIJO|7|-58.45966521|-34.67323292|AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ|ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.|8
196|196|2017-0061|2017-05-15|2017|5|15|PEATON|PEATON|MASCULINO|47.0|2017-05-16 00:00:00|5|Monday|MOTO|13|-58.39303911|-34.59871111|PARAGUAY Y AV. CALLAO |PARAGUAY y CALLAO AV.|2
197|197|2017-0062|2017-05-15|2017|5|15|CONDUCTOR|MOTO|MASCULINO|35.0|2017-05-15 00:00:00|5|Monday|CARGAS|16|-58.51262106|-34.63395999|AV. JUAN B JUSTO Y SAN BLAS|JUSTO, JUAN B. AV. y SAN BLAS|10
198|198|2017-0063|2017-05-17|2017|5|17|PEATON|PEATON|FEMENINO|79.0|2017-05-17 00:00:00|6|Wednesday|PASAJEROS|10|-58.38118367|-34.61646839|CHILE Y AV. 9 DE JULIO|CHILE y 9 DE JULIO AV.|1
199|199|2017-0064|2017-05-20|2017|5|20|PASAJERO_ACOMPAÑANTE|CARGAS|MASCULINO|61.0|2017-05-20 00:00:00|6|Saturday|AUTO|5|-58.37653284|-34.60582475|MAIPU Y PERON|MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL|1
200|200|2017-0065|2017-05-22|2017|5|22|CICLISTA|BICICLETA|MASCULINO|21.0|2017-05-22 00:00:00|4|Monday|CARGAS|16|-58.37709334|-34.64035082|AV. SUAREZ Y HERRERA|SUAREZ AV. y HERRERA|4
201|201|2017-0066|2017-05-22|2017|5|22|PEATON|PEATON|MASCULINO|10.0|2017-05-22 00:00:00|2|Monday|PASAJEROS|18|-58.46002142|-34.60409469|AV. SAN MARTIN Y FRAGATA SARMIENTO|SAN MARTIN AV. y FRAGATA PRES. SARMIENTO|15
202|202|2017-0067|2017-05-23|2017|5|23|CONDUCTOR|MOTO|MASCULINO|21.0|2017-05-23 00:00:00|4|Tuesday|CARGAS|2|-58.4338197|-34.62801894|AV. DIRECTORIO Y AV. JOSE MARIA MORENO|DIRECTORIO AV. y MORENO, JOSE MARIA AV.|6
203|203|2017-0068|2017-05-27|2017|5|27|CONDUCTOR|MOTO|MASCULINO|32.0|2017-05-27 00:00:00|5|Saturday|OBJETO FIJO|19|-58.43580656|-34.66437532|AV. TTE. FRANCISCO RABANAL 2950|RABANAL, FRANCISCO, INTENDENTE AV. 2950|8
204|204|2017-0069|2017-05-29|2017|5|29|CONDUCTOR|MOTO|MASCULINO|39.0|2017-05-29 00:00:00|5|Wednesday|SD|14|-58.52173071|-34.65997463|AV. GRAL. PAZ Y ULRICO SCHMIDL|PAZ, GRAL. AV. y SCHMIDL, ULRICO|9
205|205|2017-0070|2017-05-30|2017|5|30|PEATON|PEATON|MASCULINO|80.0|2017-05-31 00:00:00|6|Tuesday|AUTO|13|-58.50791763|-34.59804273|NUEVA YORK  3696|NUEVA YORK 3696|11
206|206|2017-0072|2017-06-03|2017|6|3|CONDUCTOR|AUTO|MASCULINO|25.0|2017-06-03 00:00:00|4|Saturday|AUTO|23|-58.49175088|-34.58226957|AV. DE LOS CONSTITUYENTES Y VALLEJOS|DE LOS CONSTITUYENTES AV. y VALLEJOS|12
